epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.82113,1.34089,3.11074,1.51639,0.00827,0.875,0.07534,0.03903,1.19787,2.87587,1.23323,0,0,0
2,2.47699,1.62744,3.21487,1.6939,0.00667,0.75,0.08467,0.02663,1.18963,2.88062,1.24938,1.66287e-05,1.66287e-05,1.66287e-05
3,3.09235,1.27984,3.12026,1.53205,0.00667,0.75,0.05704,0.02241,1.19885,2.88602,1.25057,3.3175e-05,3.3175e-05,3.3175e-05
4,3.68709,1.28772,3.16319,1.43434,0.00667,0.75,0.04403,0.02628,1.22564,2.89004,1.25605,4.96387e-05,4.96387e-05,4.96387e-05
5,4.25849,1.11696,3.23351,1.46457,0.00841,0.875,0.06038,0.02889,1.23817,2.8948,1.25915,6.60199e-05,6.60199e-05,6.60199e-05
6,4.86956,1.68155,3.2023,1.66919,0.00851,0.875,0.05379,0.03363,1.08905,2.87182,1.25561,8.23185e-05,8.23185e-05,8.23185e-05
7,5.54875,1.34554,3.05679,1.44636,0.00842,0.875,0.08659,0.0566,1.10942,2.87552,1.15296,9.85347e-05,9.85347e-05,9.85347e-05
8,6.31176,0.90526,2.99709,1.26151,0.00846,0.875,0.19564,0.16106,1.26032,2.85018,1.19783,0.000114668,0.000114668,0.000114668
9,6.99593,1.05185,3.06062,1.28187,0.00852,0.875,0.43245,0.35146,1.02815,2.86049,1.06718,0.000130719,0.000130719,0.000130719
10,7.75082,0.80196,2.8075,1.14753,0.00857,0.875,0.51531,0.50472,1.14177,2.89018,1.19181,0.000146688,0.000146688,0.000146688
11,8.52796,0.71596,2.75384,1.13141,0.00683,0.75,0.5112,0.41743,1.24864,2.95536,1.34549,0.000162574,0.000162574,0.000162574
12,9.32177,0.69932,2.70721,1.16117,0.00677,0.75,0.51222,0.37785,1.35062,2.97973,1.47976,0.000178378,0.000178378,0.000178378
13,10.1775,0.74545,2.76101,1.06563,0.0067,0.75,0.50966,0.29611,1.52872,2.97935,1.63444,0.000194099,0.000194099,0.000194099
14,10.9614,0.85321,2.72275,1.15952,0.00668,0.75,0.38609,0.28516,1.43957,2.9451,1.61487,0.000209737,0.000209737,0.000209737
15,11.7533,0.78484,2.73961,1.09544,0.00839,0.875,0.40493,0.28346,1.20393,2.87383,1.46775,0.000225293,0.000225293,0.000225293
16,12.5327,0.74417,2.58928,1.12146,0.00838,0.875,0.53324,0.4629,1.16775,2.86971,1.26769,0.000240767,0.000240767,0.000240767
17,13.3491,0.61148,2.39499,0.95674,0.00834,0.875,0.55213,0.38902,1.18984,2.84752,1.2722,0.000256158,0.000256158,0.000256158
18,14.1056,0.85921,2.5043,1.11086,0.00832,0.875,0.55181,0.41075,1.28738,2.79951,1.37716,0.000271466,0.000271466,0.000271466
19,14.8422,0.78881,2.21459,0.95957,0.01,1,0.47554,0.40249,1.33868,2.82203,1.36704,0.000286692,0.000286692,0.000286692
20,15.5717,0.73243,2.21496,1.04834,0.00995,1,0.60741,0.45081,1.39114,2.79344,1.62492,0.000301836,0.000301836,0.000301836
21,16.3077,0.70433,2.11101,1.0451,0.00832,0.875,0.6385,0.43188,1.30729,2.79128,1.41186,0.000316897,0.000316897,0.000316897
22,17.0428,0.92416,2.28184,1.0854,0.0083,0.875,0.68314,0.39256,1.24481,2.76546,1.29462,0.000331875,0.000331875,0.000331875
23,17.8125,0.77428,2.16865,1.06881,0.00832,0.875,0.64949,0.323,1.3422,2.73444,1.31154,0.000346771,0.000346771,0.000346771
24,18.5131,1.00785,2.04701,1.09478,0.00832,0.875,0.6339,0.41825,1.11149,2.71864,1.24907,0.000361584,0.000361584,0.000361584
25,19.2366,0.84186,2.00424,1.09179,0.00832,0.875,0.77974,0.37905,1.0751,2.70777,1.14692,0.000376315,0.000376315,0.000376315
26,20.1232,0.80549,1.8049,1.05525,0.01011,1,0.79385,0.3289,1.23135,2.70025,1.23781,0.000390964,0.000390964,0.000390964
27,21.0771,0.69161,1.6447,0.95401,0.01021,1,0.76015,0.30252,1.24411,2.67253,1.15974,0.000405529,0.000405529,0.000405529
28,21.9182,0.6571,1.55901,1.0012,0.01021,1,0.70662,0.28769,1.2806,2.66602,1.13623,0.000420013,0.000420013,0.000420013
